iter	PRAUC	Logloss
0	0.7336665324	0.683776328
1	0.7477758807	0.6755534374
2	0.7468955273	0.6684930322
3	0.7505517379	0.6612654671
4	0.7526525946	0.6553452963
5	0.7511944184	0.6497561726
6	0.7550978683	0.6440550805
7	0.7563571389	0.639157733
8	0.7567316072	0.635083853
9	0.7569794244	0.6316056699
10	0.7578328198	0.6280159926
11	0.7593488107	0.6240613205
12	0.7605358517	0.6205083506
13	0.7608621394	0.6178146487
14	0.760603773	0.6161238635
15	0.7627703601	0.612814859
16	0.7633530027	0.611395808
17	0.7642011925	0.6088337541
18	0.7662231027	0.6061964728
19	0.7677482983	0.6038686229
20	0.7688946719	0.6017141679
21	0.7696576087	0.5998525183
22	0.7703940833	0.5986171219
23	0.7716022668	0.5968965209
24	0.7719871144	0.5957031622
25	0.7721247709	0.5949571361
26	0.7729700354	0.5935120387
27	0.7736338099	0.5918978317
28	0.7741535588	0.5904721418
29	0.7752795923	0.5892694874
30	0.7758069368	0.5881431498
31	0.7760481771	0.5875284672
32	0.7763496004	0.5866384914
33	0.7776092888	0.5855173193
34	0.7783671348	0.5845642833
35	0.7788761417	0.5836429105
36	0.7795928694	0.5827422833
37	0.7805223076	0.5818508861
38	0.7807793298	0.5811347437
39	0.7819391566	0.5802002634
40	0.7825317467	0.5795428552
41	0.7831854843	0.5784776743
42	0.7838958387	0.5778294466
43	0.784397332	0.5772527638
44	0.7846353526	0.5765235213
45	0.7853115913	0.5757056953
46	0.7861306058	0.5750522233
47	0.7863017731	0.5746838232
48	0.7864813882	0.5741031935
49	0.7868949434	0.5735450514
50	0.7874505378	0.57271942
51	0.7879611037	0.5721513599
52	0.7885684595	0.5714851315
53	0.7889859241	0.5706058145
54	0.7895593391	0.5700734191
55	0.7898874055	0.5695978929
56	0.7901809086	0.5691971625
57	0.7903622181	0.568731325
58	0.7907920734	0.5682257571
59	0.7913282661	0.5676554119
60	0.7916216372	0.5670596589
61	0.7918772779	0.5663702184
62	0.792253601	0.5659132277
63	0.7924986866	0.5653559306
64	0.7928505811	0.5647494101
65	0.7930640842	0.5644341089
66	0.7932626147	0.5641242249
67	0.793679679	0.5637399465
68	0.7940110201	0.563403079
69	0.7941894422	0.5632178155
70	0.7945181352	0.5627624717
71	0.794724969	0.56238185
72	0.7950536266	0.5621088004
73	0.7952643875	0.5618859488
74	0.7954920513	0.5615567157
75	0.7957116556	0.5613476991
76	0.7959383383	0.5611110101
77	0.7960854784	0.5607561208
78	0.7963163505	0.5605248099
79	0.7965192905	0.5602783713
80	0.7968013633	0.5598444348
81	0.797002667	0.5593880668
82	0.7970754089	0.559177194
83	0.7973145667	0.5589078932
84	0.7975547296	0.5586501232
85	0.7976380238	0.5583413956
86	0.7978167185	0.5581787169
87	0.797999411	0.557952877
88	0.7981256905	0.5577101035
89	0.7983705583	0.5573563037
90	0.7987348128	0.5569745868
91	0.7989934397	0.5566593259
92	0.799398099	0.5562234939
93	0.7994991086	0.5560458001
94	0.7995300776	0.5559317525
95	0.7996775204	0.555773648
96	0.7998894769	0.5555046087
97	0.8000982198	0.5551924514
98	0.8002269763	0.5550181644
99	0.8003329422	0.5547913211
100	0.8003802621	0.5547143574
101	0.8006510848	0.5543714452
102	0.8009542224	0.5541254973
103	0.8011244163	0.5539366981
104	0.8011454513	0.5538680109
105	0.8013769985	0.5535928369
106	0.8016137321	0.5533308844
107	0.8017487622	0.5531450943
108	0.8017815938	0.5530621372
109	0.8019423182	0.5528894505
110	0.8019889626	0.5527780217
111	0.8020587293	0.5526388584
112	0.8022069681	0.5525015809
113	0.8022470965	0.5524434996
114	0.8023446118	0.5523031569
115	0.8024222482	0.5522121422
116	0.8024329027	0.5521807733
117	0.8025142948	0.5520803599
118	0.8025838931	0.5519731048
119	0.8026517696	0.5518775501
120	0.8026660169	0.551860896
121	0.8027553098	0.551759765
122	0.8028418139	0.5516778034
123	0.8028993327	0.5516056411
124	0.80315232	0.5513960075
125	0.8032496452	0.5512925709
126	0.8033445389	0.5511931751
127	0.8034151459	0.5510879077
128	0.8034870822	0.5509717875
129	0.8035726818	0.5507928005
130	0.8037008038	0.5505975285
131	0.8037360257	0.5505580535
132	0.8037759032	0.550503862
133	0.8039105434	0.5503047058
134	0.8039257959	0.5502957227
135	0.8039302456	0.5502917543
136	0.8040277329	0.5501216255
137	0.8042029343	0.5499326393
138	0.8043182938	0.5497613868
139	0.8043926806	0.5496827939
140	0.8044110142	0.5496198365
141	0.8045150427	0.5495224185
142	0.8046941836	0.5492722406
143	0.8047756426	0.5491316151
144	0.8048842772	0.5490126057
145	0.8051220571	0.5488054543
146	0.8051616995	0.5487447172
147	0.805278836	0.5485996582
148	0.8052862815	0.5485641549
149	0.8052941845	0.5485344114
150	0.8053444985	0.5484266874
151	0.8054074302	0.5483714321
152	0.8054609338	0.5483275846
153	0.8054821104	0.5482739104
154	0.805652884	0.5480682054
155	0.8058873373	0.5477980429
156	0.8058875091	0.5477979591
157	0.80599226	0.5476059181
158	0.8060728283	0.5475247673
159	0.8061099684	0.5474934708
160	0.8062096071	0.5473704243
161	0.806315263	0.5472276442
162	0.8064413812	0.5470542756
163	0.8064706586	0.5470216901
164	0.8065704324	0.5469007664
165	0.8067292017	0.5467471342
166	0.8068394606	0.5465999614
167	0.8069136627	0.5464758621
168	0.8069693532	0.5464121895
169	0.8070013403	0.5463841289
170	0.8070241159	0.5463582995
171	0.8070916522	0.5462946062
172	0.8071802709	0.5461874714
173	0.8072157827	0.5461265896
174	0.8072829904	0.5460558829
175	0.8074079583	0.5458884346
176	0.8074648628	0.5458152692
177	0.8074853594	0.5457628683
178	0.8075536199	0.5456530201
179	0.807591772	0.5456069426
180	0.8076785781	0.5455160932
181	0.8077709942	0.5454323755
182	0.8077960922	0.545409613
183	0.8078118534	0.5453809681
184	0.8079017277	0.5452668633
185	0.8079564932	0.5452181231
186	0.8079972389	0.5451522574
187	0.808092147	0.5450616049
188	0.8081466761	0.5449902597
189	0.8081750469	0.5449349347
190	0.8082468199	0.5448633466
191	0.8082949357	0.5448118662
192	0.8083572825	0.5447433948
193	0.8084539801	0.5446573928
194	0.8084920514	0.544601599
195	0.8085650687	0.5445389747
196	0.8086183562	0.5444762349
197	0.8086823863	0.5443821207
198	0.8087198281	0.5443403886
199	0.8088010479	0.5442582745
200	0.8088429018	0.544198596
201	0.8088959744	0.5441262618
202	0.809000248	0.5440072249
203	0.8090221554	0.5439352001
204	0.8091827696	0.5437498004
205	0.8091984392	0.5437182733
206	0.8092511093	0.5436655556
207	0.8093401604	0.5435509724
208	0.8093435523	0.5435310753
209	0.8093782409	0.543491599
210	0.8094890996	0.5433634996
211	0.8095814551	0.5432550608
212	0.8097121709	0.5430930454
213	0.8097936458	0.5430043141
214	0.8098776637	0.5429026265
215	0.8098865452	0.5428959321
216	0.8099181495	0.542851042
217	0.8099840675	0.5427829399
218	0.8100344162	0.5427178998
219	0.8100645733	0.5426781131
220	0.8101155871	0.5425798895
221	0.8101671163	0.5425134985
222	0.8102148783	0.5424470508
223	0.8102448866	0.5424078278
224	0.8103657003	0.5422747079
225	0.8104116967	0.5422214188
226	0.8105151286	0.5421150342
227	0.810582153	0.5420433438
228	0.8106144957	0.542016662
229	0.8106907175	0.5419059788
230	0.8107255852	0.5418440167
231	0.8107928757	0.5417584852
232	0.8108293845	0.5417043235
233	0.8108548201	0.5416812936
234	0.8109261179	0.5416037547
235	0.8109973629	0.5415220569
236	0.8110465056	0.5414586545
237	0.8110903445	0.5413981227
238	0.8111467765	0.5413161707
239	0.8112152447	0.5412438136
240	0.8112152622	0.5412438107
241	0.8112749663	0.541166888
242	0.8113769411	0.5410166347
243	0.8114548884	0.5409285085
244	0.8114952489	0.5408735995
245	0.8115558789	0.5407811865
246	0.8116132036	0.5407114476
247	0.8116876221	0.5406137586
248	0.8117339646	0.5405567582
249	0.8117662881	0.5405283344
250	0.8118584809	0.5404094937
251	0.8119519832	0.5402977974
252	0.8120785303	0.5401618686
253	0.8121348493	0.540085244
254	0.8122860422	0.5399516959
255	0.8124209282	0.5398096205
256	0.812519813	0.5397149091
257	0.8125863449	0.539636225
258	0.8126924899	0.5395007776
259	0.8127502625	0.539424398
260	0.8127880939	0.5393681779
261	0.8129392416	0.539222497
262	0.8129816554	0.5391756035
263	0.8130199103	0.5391186341
264	0.8130512538	0.5390877429
265	0.8131102363	0.5390220876
266	0.8131904424	0.538904996
267	0.8132658445	0.5388101978
268	0.8132925884	0.538760888
269	0.8133834894	0.5386623091
270	0.8134972907	0.5385411181
271	0.8135410991	0.5384771623
272	0.8136183383	0.5383790901
273	0.8137240434	0.5382625826
274	0.8137676031	0.5382183695
275	0.8138261482	0.5381494811
276	0.8139385957	0.5380176121
277	0.814009551	0.5379379215
278	0.8141083663	0.5378140396
279	0.8141617026	0.5377125424
280	0.8142326075	0.5376014289
281	0.8143009666	0.5375108492
282	0.8143814614	0.5374276929
283	0.8144147069	0.5373565576
284	0.8144971181	0.5372633398
285	0.8146044907	0.5371573653
286	0.8146403188	0.5370941226
287	0.8146943768	0.5370259175
288	0.8147661169	0.5369297848
289	0.8148097783	0.5368606814
290	0.8148555734	0.5367943479
291	0.8149524989	0.5367037387
292	0.8150266525	0.5366245817
293	0.815133833	0.5365251651
294	0.8151829277	0.5364461876
295	0.815251286	0.5363697091
296	0.815399532	0.5362407615
297	0.8154408099	0.5361797904
298	0.8154883249	0.5361094359
299	0.8155257145	0.5360433911
300	0.8155891623	0.5359639982
301	0.8156399685	0.5358962573
302	0.8156866999	0.5358498553
303	0.8157693241	0.5357493646
304	0.8158044881	0.5356971526
305	0.8158650152	0.5356337777
306	0.8159080449	0.535578762
307	0.8159351579	0.535543972
308	0.8159691645	0.5354936724
309	0.8160339591	0.5354128004
310	0.8160759401	0.535360102
311	0.8160910096	0.5353246136
312	0.8161375431	0.5352611228
313	0.8162023652	0.535192351
314	0.8162639205	0.5351346003
315	0.816283029	0.5351113395
316	0.8163779485	0.5350171094
317	0.8164234628	0.5349574751
318	0.8164647921	0.5348963943
319	0.8165118518	0.5348327728
320	0.8165591994	0.5347793006
321	0.816586739	0.534750483
322	0.8166524297	0.5346738487
323	0.8167279845	0.5345956843
324	0.8167637229	0.5345346339
325	0.8168317697	0.5344450181
326	0.8168610461	0.5344110749
327	0.8169072136	0.5343595331
328	0.8169426978	0.534313394
329	0.817007495	0.534229251
330	0.8170635459	0.5341565506
331	0.8170887323	0.5341077937
332	0.817157959	0.5340295923
333	0.8172331732	0.5339366126
334	0.8172529312	0.5339018316
335	0.817311988	0.53383949
336	0.8173577468	0.5337626102
337	0.8173994973	0.5337256473
338	0.8174533366	0.533660778
339	0.8174977487	0.5335909743
340	0.817563442	0.5335138072
341	0.8176081173	0.5334540343
342	0.8176290352	0.5334090756
343	0.8176641362	0.5333726966
344	0.8177140168	0.5333148744
345	0.817766267	0.5332441487
346	0.817834607	0.5331643759
347	0.8178848249	0.5330965127
348	0.8179178055	0.5330535895
349	0.8179397684	0.5330190632
350	0.8179771042	0.5329755454
351	0.8180169797	0.5329316318
352	0.8180469678	0.5328733257
353	0.8181294273	0.5327788148
354	0.8181644515	0.5327382375
355	0.8182300643	0.5326609981
356	0.8182740316	0.5326119743
357	0.818341812	0.5325346997
358	0.8184058697	0.5324603716
359	0.8184486081	0.5323863365
360	0.8184754429	0.5323547736
361	0.8185099196	0.5323128411
362	0.8186324018	0.5322010012
363	0.8186535867	0.5321413295
364	0.8186669532	0.5321210588
365	0.8186845606	0.5320816966
366	0.8187100637	0.5320560867
367	0.8187841337	0.5319712091
368	0.8188338356	0.5319050699
369	0.8188980339	0.5318331184
370	0.8190070893	0.531702499
371	0.8191235162	0.5315894995
372	0.8191497458	0.5315481988
373	0.8191879832	0.5314924911
374	0.8192444255	0.5314362543
375	0.8192780641	0.5313918723
376	0.8193212913	0.5313284873
377	0.8193556175	0.5312861495
378	0.8193847884	0.5312323385
379	0.8194076328	0.5312006833
380	0.8194345764	0.5311586389
381	0.8194870415	0.5311060318
382	0.8195369549	0.5310502401
383	0.8195776518	0.5309952452
384	0.8196061038	0.5309650686
385	0.8196596684	0.530887329
386	0.8197115502	0.5308263908
387	0.8198207197	0.5307178191
388	0.8198453379	0.5306624208
389	0.8198778425	0.5306228887
390	0.8199319679	0.5305646433
391	0.8199625287	0.5305360194
392	0.8199866567	0.53050375
393	0.8200024153	0.530471882
394	0.8200353008	0.5304348975
395	0.8200772844	0.5303863505
396	0.8201074666	0.5303488215
397	0.8201594603	0.5302955287
398	0.8201861472	0.5302675673
399	0.8202163469	0.5302305852
400	0.8202771093	0.5301491014
401	0.8203177254	0.530096997
402	0.820353196	0.5300555121
403	0.8204378635	0.5299681838
404	0.8204619009	0.5299372394
405	0.8205093935	0.5298870811
406	0.8205340548	0.5298634411
407	0.8205607714	0.5298295539
408	0.8206155346	0.5297406005
409	0.8206390951	0.5297132586
410	0.820677811	0.5296722699
