iter	Passed	Remaining
0	1459	1166143
1	2882	1150060
2	3432	911841
3	4547	904952
4	5152	819168
5	5815	769609
6	6750	764721
7	7204	713215
8	7740	680318
9	8453	667854
10	8980	644147
11	9406	617670
12	9995	605133
13	10519	590595
14	12182	637545
15	13346	653954
16	14235	655654
17	15108	656402
18	15933	654970
19	16762	653737
20	17664	655265
21	18670	660243
22	19562	660873
23	20388	659221
24	21653	671262
25	22797	678664
26	23514	673218
27	24102	664550
28	24769	658520
29	25352	650704
30	26129	648188
31	26680	640333
32	27340	635448
33	27953	629774
34	28740	628186
35	29421	624379
36	30085	620414
37	30747	616573
38	31262	610011
39	31876	605652
40	32557	602703
41	33202	599231
42	33729	593792
43	34252	588516
44	34890	585388
45	35338	579240
46	35910	575337
47	36479	571517
48	36886	565343
49	37578	563684
50	38442	564571
51	39038	561549
52	39618	558395
53	40197	555319
54	40727	551677
55	41279	548434
56	41784	544661
57	42257	540602
58	42792	537445
59	43268	533648
60	43796	530583
61	44310	527432
62	44881	525047
63	45537	523679
64	46070	520948
65	46617	518445
66	47164	515988
67	47707	513559
68	48236	511028
69	48761	508512
70	49229	505466
71	49695	502475
72	50239	500331
73	50787	498270
74	51271	495623
75	51800	493470
76	52364	491685
77	53015	490731
78	53448	487801
79	53977	485793
80	54443	483267
81	54997	481565
82	55491	479367
83	55890	476402
84	56425	474636
85	57082	473919
86	57574	471847
87	57974	469062
88	58445	466910
89	58975	465252
90	59458	463253
91	59889	460889
92	60445	459519
93	60953	457798
94	61408	455714
95	61840	453500
96	62445	452567
97	63101	452010
98	63605	450374
99	64074	448520
100	64571	446883
101	65149	445827
102	65575	443746
103	66098	442349
104	66680	441359
105	67190	439906
106	67694	438433
107	68323	437779
108	68829	436339
109	69392	435282
110	69865	433669
111	70369	432271
112	70924	431195
113	71373	429492
114	71723	427219
115	72182	425630
116	72631	423992
117	73167	422881
118	73637	421403
119	74160	420244
120	74391	417455
121	74861	416034
122	75335	414650
123	75776	413105
124	76275	411889
125	76753	410572
126	77296	409612
127	77800	408451
128	78358	407586
129	78960	406949
130	79532	406163
131	79997	404836
132	80475	403589
133	81092	403041
134	81221	400089
135	81437	397605
136	82120	397416
137	82632	396397
138	83142	395376
139	83627	394244
140	84064	392895
141	84510	391605
142	85147	391200
143	85678	390311
144	86159	389204
145	86629	388052
146	87160	387182
147	87649	386133
148	88139	385094
149	88583	383861
150	89012	382577
151	89290	380658
152	89754	379548
153	90216	378439
154	90707	377459
155	91232	376627
156	91364	374187
157	92036	373972
158	92544	373088
159	93033	372134
160	93549	371291
