iter	Logloss
0	0.6608529248
1	0.6319708446
2	0.605675895
3	0.5826344462
4	0.5628289234
5	0.5450196946
6	0.5294388861
7	0.5153905082
8	0.5030753889
9	0.4909850971
10	0.482252197
11	0.4735913924
12	0.4659344752
13	0.4585945394
14	0.4520403665
15	0.4472527202
16	0.4421232328
17	0.437672612
18	0.4333127334
19	0.4292348154
20	0.4257702867
21	0.4221424459
22	0.4189443401
23	0.4161804677
24	0.4138692007
25	0.4121217835
26	0.4098474704
27	0.4078585869
28	0.4063324097
29	0.4046936381
30	0.4032165174
31	0.4014890667
32	0.4003901809
33	0.3992092033
34	0.3981758878
35	0.3971314989
36	0.3962107879
37	0.3953817721
38	0.3945224718
39	0.3932981788
40	0.3926787533
41	0.3920310861
42	0.3911221839
43	0.3901454442
44	0.3891278381
45	0.3882623387
46	0.3875745614
47	0.3867524492
48	0.3860516992
49	0.385410858
50	0.3844541704
51	0.3836496828
52	0.3829788999
53	0.3825854533
54	0.3822887715
55	0.3817139386
56	0.3810981423
57	0.3807193179
58	0.380197879
59	0.3794849505
60	0.3786677783
61	0.3779652123
62	0.3775440027
63	0.3770428622
64	0.3764166299
65	0.3758326334
66	0.375305527
67	0.3747412665
68	0.374387688
69	0.3738823371
70	0.3734320538
71	0.3730383004
72	0.3725970576
73	0.3719468184
74	0.3715311604
75	0.3711628305
76	0.370900213
77	0.3704246485
78	0.370207009
79	0.3698437168
80	0.369418172
81	0.3689808175
82	0.3685612529
83	0.3680913192
84	0.3678770557
85	0.3675404447
86	0.3671826159
87	0.3668872681
88	0.3665717224
89	0.3663534891
90	0.3660719636
91	0.3658271994
92	0.3655593791
93	0.3653780864
94	0.3651789147
95	0.364710219
96	0.3645423866
97	0.3642395322
98	0.364072499
99	0.3638857386
100	0.3636993661
101	0.3634324895
102	0.3632508618
103	0.3630517383
104	0.3628373398
105	0.3625668155
106	0.3623066934
107	0.3621684171
108	0.3620009544
109	0.3618167525
110	0.3616628094
111	0.3611004259
112	0.3609362799
113	0.3607229502
114	0.3604381273
115	0.3599759463
116	0.3596938654
117	0.3594257326
118	0.3591936749
119	0.3590045564
120	0.3589020194
121	0.3587695497
122	0.3586511801
123	0.3585734434
124	0.358412608
125	0.3579718249
126	0.3577195363
127	0.357530038
128	0.3574136183
129	0.3571604439
130	0.3570798194
131	0.356826532
132	0.3566418775
133	0.3564723836
134	0.3562982294
135	0.3562051056
136	0.3558818046
137	0.3555835957
138	0.3553479801
139	0.355268242
140	0.3550724512
141	0.3548679439
142	0.3547152127
143	0.3545745341
144	0.3544194027
145	0.3542498859
146	0.3541932244
147	0.3540362151
148	0.3539366484
149	0.3538401262
150	0.3537588674
151	0.3537587085
152	0.3535943019
153	0.3534532645
154	0.3530883224
155	0.3529433488
156	0.352839973
157	0.3527195515
158	0.3525364856
159	0.3523626152
160	0.3522456265
161	0.3520673901
162	0.3519231972
163	0.3516681789
164	0.3514837734
165	0.3514325592
166	0.3512068133
167	0.3510653048
168	0.3507392155
169	0.3506781318
170	0.3504554529
171	0.3504299613
172	0.3503350637
173	0.3502385706
174	0.349953671
175	0.3498916308
176	0.3495662813
177	0.3494832865
178	0.3493642025
179	0.349229188
180	0.348969072
181	0.3487608047
182	0.3486468402
183	0.3485980358
184	0.3484525923
185	0.3482203765
186	0.3480605771
187	0.3479707265
188	0.3477937864
189	0.3477410315
190	0.3477300563
191	0.3476003054
192	0.3473745403
193	0.3471470706
194	0.3470647685
195	0.3469659253
196	0.3468313901
197	0.346747049
198	0.3465526584
199	0.3464606356
200	0.3462004406
201	0.345998238
202	0.3458621778
203	0.345820902
204	0.3456133407
205	0.3455231618
206	0.3453911527
207	0.3452639087
208	0.3451627769
209	0.3451010313
210	0.3450256654
211	0.3449787569
212	0.3447539487
213	0.3446175058
214	0.3445007593
215	0.3443649086
216	0.344283953
217	0.3441398804
218	0.3440741056
219	0.3438357096
220	0.3437473014
221	0.3436435753
222	0.3434305524
223	0.3433545157
224	0.3432327599
225	0.343137812
226	0.3430515137
227	0.3428728715
228	0.3426630724
229	0.3424687177
230	0.3423584447
231	0.3422271899
232	0.3421920349
233	0.342117483
234	0.3420668242
235	0.3418797494
236	0.3418039506
237	0.3417126585
238	0.341564818
239	0.3413363847
240	0.3410560432
241	0.3409089454
242	0.3405892634
243	0.3405037648
244	0.3403874809
245	0.3402344436
246	0.3401901208
247	0.3399582952
248	0.339752366
249	0.3396597485
250	0.3395554096
251	0.3394098115
252	0.3393217452
253	0.3392277373
254	0.3391572754
255	0.3390788405
256	0.3388576165
257	0.3387142276
258	0.3385235209
259	0.3384193613
260	0.3383185931
261	0.3381841489
262	0.3379224374
263	0.3378406576
264	0.3377252248
265	0.3375373048
266	0.3374407707
267	0.3373120254
268	0.3372875215
269	0.337169417
270	0.3370558147
271	0.336846926
272	0.3367598312
273	0.3366647027
274	0.3366283824
275	0.3364866658
276	0.3364356039
277	0.3362706472
278	0.3361677614
279	0.3360814959
280	0.335944451
281	0.3358722591
282	0.3357611472
283	0.3356479257
284	0.3355389474
285	0.3354979699
286	0.3353914223
287	0.3352774575
288	0.3351882951
289	0.3350932591
290	0.3350787427
291	0.3349562757
292	0.3348635522
293	0.3346903246
294	0.3346132117
295	0.3345594889
296	0.3344660336
297	0.334370304
298	0.3342573647
299	0.334078095
300	0.333941539
301	0.333844983
302	0.3337672935
303	0.3337154959
304	0.3336064601
305	0.3335251795
306	0.3334545431
307	0.3332944557
308	0.3331557587
309	0.3330510489
310	0.3330004785
311	0.3329045798
312	0.332861241
313	0.3327464717
314	0.3326727861
315	0.3325640393
316	0.3324224672
317	0.3323090757
318	0.3322091412
319	0.3320305756
320	0.3319370663
321	0.3318083426
322	0.3317438054
323	0.3316697765
324	0.3315727696
325	0.3313939336
326	0.3313031765
327	0.3311906038
328	0.3310789177
329	0.330953108
330	0.3307690512
331	0.3306861702
332	0.3304976582
333	0.3303462221
334	0.3303088781
335	0.3302552239
336	0.3300647228
337	0.3299714349
338	0.3298833123
339	0.3298087172
340	0.3297324396
341	0.3296638959
342	0.3295638783
343	0.3294356705
344	0.3293715678
345	0.3293070564
346	0.3292203703
347	0.3291728964
348	0.3290459824
349	0.3290141104
350	0.3289509432
351	0.3288874535
352	0.328804172
353	0.3287485053
354	0.3286979766
355	0.3285672903
356	0.3284158969
357	0.328248139
358	0.3281085766
359	0.3280123564
360	0.3279422043
361	0.3278080575
362	0.3277203768
363	0.3276653587
364	0.3276054188
365	0.3275620764
366	0.3274399571
367	0.327368985
368	0.327235923
369	0.3271853096
370	0.3270732666
371	0.327004273
372	0.3269290995
373	0.3268442609
374	0.3267860371
375	0.3267086375
376	0.3266440483
377	0.3265438779
378	0.3264620668
379	0.3263840339
380	0.3262383653
381	0.3261902551
382	0.3261096817
383	0.3260539049
384	0.3259914127
385	0.3258666579
386	0.32574458
387	0.3256870914
388	0.3254710066
389	0.3254360786
390	0.3253765364
391	0.3252857108
392	0.3252146189
393	0.3251359932
394	0.3250456877
395	0.3249799844
396	0.3249416923
397	0.3248079637
398	0.3246849259
399	0.3246329015
400	0.3245341564
401	0.324497114
402	0.3244313988
403	0.3243037617
404	0.3242235641
405	0.3241572234
406	0.324102482
407	0.3240779246
408	0.3239669513
409	0.3238998084
410	0.3238076292
411	0.3237232866
412	0.3236575926
413	0.3235412559
414	0.3234598191
415	0.3233815362
416	0.3233164778
417	0.3232270043
418	0.3231597613
419	0.3230300276
420	0.3229429641
421	0.3228877782
422	0.3228033954
423	0.3227366721
424	0.3226839294
425	0.3225759611
426	0.3225420059
427	0.3225345699
428	0.3224787178
429	0.3224264151
430	0.3223608007
431	0.322296447
432	0.3222081738
433	0.3221445792
434	0.3220875183
435	0.3219878642
436	0.3218809868
437	0.3218570535
438	0.3217732454
439	0.321689923
440	0.3215878313
441	0.3215601343
442	0.3214798979
443	0.3214168697
444	0.3213913164
445	0.3212667519
446	0.3212005303
447	0.3211388409
448	0.3211071401
449	0.3209441234
450	0.3208698906
451	0.3208167336
452	0.3207768522
453	0.3206678246
454	0.3205825378
455	0.3204774161
456	0.3203798332
457	0.3202653846
458	0.3201771443
459	0.3200937584
460	0.3199965809
461	0.3199548074
462	0.3198895715
463	0.3198419646
464	0.3198051007
465	0.3196257074
466	0.3195980591
467	0.3195345469
468	0.3194936812
469	0.3194116775
470	0.3193356551
471	0.3192350621
472	0.3192127316
473	0.3191493175
474	0.3191166132
475	0.3190232801
476	0.3189228552
477	0.318800515
478	0.3187490104
479	0.3186780197
480	0.3186403549
481	0.3185633584
482	0.3185049497
483	0.3184486732
484	0.3183725722
485	0.3182848976
486	0.3182248047
487	0.3181988642
488	0.3181335685
489	0.3181098464
490	0.3180596931
491	0.3179690822
492	0.3179271703
493	0.3178824288
494	0.3178224275
495	0.3177421072
496	0.3176185199
497	0.3174764467
498	0.3174100552
499	0.3173662237
500	0.3172911283
501	0.3172435577
502	0.3172048108
503	0.3171584419
504	0.3171221852
505	0.3170367721
506	0.3170018701
507	0.3169474475
508	0.3168839197
509	0.3168114774
510	0.316703306
511	0.3166208948
512	0.3165433373
513	0.3164235568
514	0.3163525444
515	0.3162807468
516	0.3161980663
517	0.3161301205
518	0.3160635225
519	0.3159964822
520	0.3158317493
521	0.3157232384
522	0.3156832222
523	0.3156023642
524	0.3155687501
525	0.3154943192
526	0.3154594468
527	0.3153988156
528	0.3153002323
529	0.3152170254
530	0.3151879891
531	0.3151380039
532	0.3151039828
533	0.3150361931
534	0.3149379179
535	0.3147966591
536	0.3147447218
537	0.3146590655
538	0.314621949
539	0.3145610252
540	0.3145165591
541	0.3144840697
542	0.3143910825
543	0.3143527726
544	0.3142362944
545	0.3141859875
546	0.3141416744
547	0.3141152907
548	0.3140926006
549	0.3140601876
550	0.3139651346
551	0.3139033349
552	0.3138723463
553	0.3138321192
554	0.3137208473
555	0.313685844
556	0.3136398745
557	0.3135832813
558	0.3135288456
559	0.3134752231
560	0.3133914362
561	0.3133545139
562	0.3132839808
563	0.313248028
564	0.3131885967
565	0.3131116881
566	0.3130729986
567	0.3130049221
568	0.312940368
569	0.3128441861
570	0.3128138619
571	0.3127914451
572	0.312766699
573	0.3126838243
574	0.3126437899
575	0.3125675528
576	0.3125121493
577	0.3124341611
578	0.3123854184
579	0.3123487236
580	0.3122958009
581	0.3122399684
582	0.3121978186
583	0.3120999109
584	0.3120142319
585	0.3119625008
586	0.3119136641
587	0.3118048718
588	0.311779623
589	0.3117179918
590	0.311678966
591	0.3116272529
592	0.3116050232
593	0.3115321734
594	0.3114443389
595	0.3114048017
596	0.3113423314
597	0.3113077304
598	0.3112986862
599	0.311255275
600	0.3111791679
601	0.3111211025
602	0.3110790093
603	0.3109808239
604	0.310899435
605	0.3108499298
606	0.310798386
607	0.310762402
608	0.3106901769
609	0.310605153
610	0.3105529936
611	0.3104970829
612	0.3104231751
613	0.310377111
614	0.3103347471
615	0.3102976456
616	0.3102813042
617	0.310222001
618	0.3101729212
619	0.31010929
620	0.3100191756
621	0.3099603628
622	0.3099077092
623	0.3098162088
624	0.3097544366
625	0.3097079771
626	0.3096299749
627	0.309511021
628	0.3094662269
629	0.3094035355
630	0.3093189455
631	0.3092822342
632	0.3091815365
633	0.3091107192
634	0.3090679819
635	0.3090067019
636	0.3089464591
637	0.3088973849
638	0.3088487828
639	0.3088135463
640	0.308755895
641	0.3086939374
642	0.308621762
643	0.3085860272
644	0.3085554546
645	0.30851181
646	0.3084268892
647	0.3083351627
648	0.3082437702
649	0.3081660634
650	0.3081141776
651	0.3080929029
652	0.3080327877
653	0.3079619978
654	0.3078718318
655	0.307798954
656	0.3077576535
657	0.3077262392
658	0.3076488757
659	0.3075724033
660	0.3075132125
661	0.3074106856
662	0.3073572723
663	0.3073195688
664	0.307285485
665	0.3072248704
666	0.3071295998
667	0.3070526939
668	0.306962112
669	0.3069355983
670	0.3068807977
671	0.3068326292
672	0.3067530734
673	0.3066501212
674	0.3065658361
675	0.3065415594
676	0.306454598
677	0.3064389583
678	0.3063817683
679	0.3063050478
680	0.3062546914
681	0.3062111486
682	0.3061802587
683	0.3061159586
684	0.3060321342
685	0.305995334
686	0.305919386
687	0.3058510304
688	0.305764934
689	0.3056889037
690	0.3056510616
691	0.3056115277
692	0.3055662487
693	0.305465091
694	0.3053895634
695	0.3052891864
696	0.305240881
697	0.3052012595
